department_id_1,department_id_2,department_name_1,department_name_2,confidence,support
4,15,produce,canned goods,0.26513768093513673,0.19586308866007668
15,4,canned goods,produce,0.8736401958118031,0.19586308866007668
4,16,produce,dairy eggs,0.7361829005333911,0.5438346454892576
16,4,dairy eggs,produce,0.8164302059496568,0.5438346454892576
15,16,canned goods,dairy eggs,0.799122926298613,0.17915691758949462
16,15,dairy eggs,canned goods,0.2689588100686499,0.17915691758949462
4,7,produce,beverages,0.4631629989579787,0.3421487855253832
7,4,beverages,produce,0.7301811912429654,0.3421487855253832
4,20,produce,deli,0.28611222879073944,0.21135745261376887
20,4,deli,produce,0.8590811932715839,0.21135745261376887
7,16,beverages,dairy eggs,0.6989850688006246,0.3275308858386239
16,7,dairy eggs,beverages,0.49170480549199086,0.3275308858386239
7,20,beverages,deli,0.2769428450603429,0.12977006150492726
20,7,deli,beverages,0.5274619745361049,0.12977006150492726
16,20,dairy eggs,deli,0.29812356979405036,0.19858393860177273
20,16,deli,dairy eggs,0.8071621077413959,0.19858393860177273
1,4,frozen,produce,0.8079732137612343,0.31449062183234383
4,1,produce,frozen,0.42572245091666927,0.31449062183234383
1,13,frozen,pantry,0.4428736464921384,0.17238146773468283
13,1,pantry,frozen,0.47517804995903273,0.17238146773468283
1,19,frozen,snacks,0.537643672534315,0.20926918122994612
19,1,snacks,frozen,0.4791804823566368,0.20926918122994612
4,13,produce,pantry,0.40313844439629826,0.2978073150469861
13,4,pantry,produce,0.8209206075757894,0.2978073150469861
4,19,produce,snacks,0.4579632094256502,0.3383075856076946
19,4,snacks,produce,0.7746500994729678,0.3383075856076946
13,19,pantry,snacks,0.5175528897665918,0.18775388883384525
19,13,snacks,pantry,0.4299151862064151,0.18775388883384525
1,20,frozen,deli,0.32758316853008557,0.12750649726771793
20,1,deli,frozen,0.5182615160620798,0.12750649726771793
1,3,frozen,bakery,0.36341563705429697,0.14145371125456332
3,1,bakery,frozen,0.5095541401273885,0.14145371125456332
1,7,frozen,beverages,0.5229386540306632,0.2035454884954538
7,1,beverages,frozen,0.4343873003480693,0.2035454884954538
11,1,personal care,frozen,0.45847866917091495,0.05209246316944722
12,1,meat seafood,frozen,0.5102116445688875,0.09443711940491888
1,15,frozen,canned goods,0.2987409684556793,0.11628013322256857
15,1,canned goods,frozen,0.5186633124830025,0.11628013322256857
1,16,frozen,dairy eggs,0.7715337471363396,0.30030714356484695
16,1,dairy eggs,frozen,0.45083524027459954,0.30030714356484695
17,1,household,frozen,0.4352566175451564,0.07180909846123361
3,4,bakery,produce,0.8368932571930595,0.23232400216448568
4,3,produce,bakery,0.3144944133213656,0.23232400216448568
3,7,bakery,beverages,0.5310784098396661,0.14742891112652334
7,3,beverages,bakery,0.3146286718063824,0.14742891112652334
11,3,personal care,bakery,0.3156023611483767,0.03585882066016813
3,12,bakery,meat seafood,0.26614320228420824,0.07388212698824013
12,3,meat seafood,bakery,0.39916000988223665,0.07388212698824013
3,13,bakery,pantry,0.46765868658027676,0.12982341150378404
13,3,pantry,bakery,0.35786466102229036,0.12982341150378404
3,15,bakery,canned goods,0.3078464748517461,0.08545907674016263
15,3,canned goods,bakery,0.3811871090562959,0.08545907674016263
3,16,bakery,dairy eggs,0.8221227761915221,0.22822367368092128
16,3,dairy eggs,bakery,0.34262013729977114,0.22822367368092128
17,3,household,bakery,0.32438675105095394,0.053517670281764206
3,19,bakery,snacks,0.5529321326597848,0.15349556813938067
19,3,snacks,bakery,0.35147115283934244,0.15349556813938067
3,20,bakery,deli,0.3638535031847134,0.10100679069271162
20,3,deli,bakery,0.4105510981692017,0.10100679069271162
11,4,personal care,produce,0.6961363026562919,0.07909518401938892
12,4,meat seafood,produce,0.876513217491559,0.16223734652348543
17,4,household,produce,0.6759828151706934,0.11152436189590653
11,7,personal care,beverages,0.5757311510598336,0.06541472002682742
12,7,meat seafood,beverages,0.5006588157786379,0.09266894801423683
7,13,beverages,pantry,0.38803226960736475,0.18182441753233392
13,7,pantry,beverages,0.5012080085716086,0.18182441753233392
15,7,canned goods,beverages,0.5107084579820506,0.11449671897507031
17,7,household,beverages,0.5749526493278514,0.09485629796736504
7,19,beverages,snacks,0.507351745226245,0.23773521633424535
19,7,snacks,beverages,0.5443614533524135,0.23773521633424535
11,13,personal care,pantry,0.433391467668366,0.04924204894481324
11,15,personal care,canned goods,0.2709954386906359,0.030790570768773482
11,16,personal care,dairy eggs,0.6954655218674537,0.0790189697353078
11,17,personal care,household,0.36155084518379393,0.04107949911972502
11,19,personal care,snacks,0.5185806278508184,0.058921263023115795
11,20,personal care,deli,0.27045881405956534,0.030729599341508585
12,13,meat seafood,pantry,0.48427077328502016,0.08963561950780816
12,15,meat seafood,canned goods,0.34546652392324795,0.06394378434406177
15,12,canned goods,meat seafood,0.2852189284742997,0.06394378434406177
12,16,meat seafood,dairy eggs,0.8068434489006012,0.14934188965695952
12,19,meat seafood,snacks,0.5030058469900354,0.09310336943349923
12,20,meat seafood,deli,0.3384666062752203,0.06264814151468268
20,12,deli,meat seafood,0.2546389517053375,0.06264814151468268
13,15,pantry,canned goods,0.32630937624740014,0.11837602603479944
15,13,canned goods,pantry,0.5280119662768561,0.11837602603479944
13,16,pantry,dairy eggs,0.7726212735561672,0.28028565113673604
16,13,dairy eggs,pantry,0.4207780320366133,0.28028565113673604
17,13,household,pantry,0.4405691319813369,0.07268556272816651
13,20,pantry,deli,0.3088720351267884,0.11205024045606628
20,13,deli,pantry,0.45543818345156595,0.11205024045606628
17,15,household,canned goods,0.2630387582574953,0.04339641335579114
15,19,canned goods,snacks,0.5225727495240685,0.11715659748950148
19,15,snacks,canned goods,0.2682628878573174,0.11715659748950148
15,20,canned goods,deli,0.3347837911340767,0.07505582696308942
20,15,deli,canned goods,0.3050710944518447,0.07505582696308942
17,16,household,dairy eggs,0.6769991222802236,0.111692033320885
16,19,dairy eggs,snacks,0.48685354691075516,0.3242994001935843
19,16,snacks,dairy eggs,0.74257443021186,0.3242994001935843
17,19,household,snacks,0.5004388598882062,0.08256293394507999
17,20,household,deli,0.2518593800526632,0.041552027681027975
19,20,snacks,deli,0.3292206205717078,0.14377824691903757
20,19,deli,snacks,0.5843994919612155,0.14377824691903757
9,4,dry goods pasta,produce,0.8686814036172515,0.1713144677575471
9,7,dry goods pasta,beverages,0.5243468851445354,0.10340754064126699
9,19,dry goods pasta,snacks,0.5508192920080384,0.10862821910082388
3,9,bakery,dry goods pasta,0.29392708104546456,0.08159501253724973
9,3,dry goods pasta,bakery,0.41374246405936005,0.08159501253724973
9,13,dry goods pasta,pantry,0.5151878188282578,0.10160126210854438
13,9,pantry,dry goods pasta,0.2800689090106935,0.10160126210854438
9,16,dry goods pasta,dairy eggs,0.8307698253207606,0.163837846489189
2,4,other,produce,0.7379710144927536,0.009702078363526892
2,7,other,beverages,0.5310144927536232,0.006981228421830819
2,16,other,dairy eggs,0.7130434782608696,0.009374356941978065
2,17,other,household,0.25971014492753625,0.003414399926834287
18,4,babies,produce,0.8159383841559258,0.03956283486651068
21,4,missing,produce,0.8502812635222847,0.0449283204658217
18,7,babies,beverages,0.5231059415278214,0.02536411374219756
21,7,missing,beverages,0.5486802250108178,0.028991913664458992
18,16,babies,dairy eggs,0.8153096510531279,0.03953234915287823
21,16,missing,dairy eggs,0.7930188951391894,0.041902613387801144
14,4,breakfast,produce,0.8079436902966315,0.13472398997020021
14,16,breakfast,dairy eggs,0.828739887563417,0.13819173989589129
14,19,breakfast,snacks,0.614836144247909,0.10252345494592596
1,9,frozen,dry goods pasta,0.2815100546298291,0.1095732762234298
9,1,dry goods pasta,frozen,0.5556113773380739,0.1095732762234298
18,1,babies,frozen,0.5342659541024835,0.02590523515917353
18,9,babies,dry goods pasta,0.3222257151839044,0.01562392823663011
6,4,international,produce,0.8701111568546727,0.06443155576218094
6,13,international,pantry,0.5674145738987237,0.042016934813922824
6,16,international,dairy eggs,0.8002264306298889,0.05925660587307273
6,20,international,deli,0.36064223960477565,0.02670548514202532
21,13,missing,pantry,0.4712245781047166,0.024899206609302716
21,20,missing,deli,0.3422760709649502,0.018085649612450367
6,1,international,frozen,0.5287155207904487,0.03915127773247262
14,1,breakfast,frozen,0.5226472873531697,0.08715103384676356
2,1,other,frozen,0.47884057971014493,0.0062952998651007175
6,19,international,snacks,0.5400370522848909,0.03998963485736497
6,7,international,beverages,0.5116303005351996,0.037886120616725985
6,9,international,dry goods pasta,0.3491148620831618,0.025851885160316748
9,20,dry goods pasta,deli,0.35565775235739683,0.07014000563985702
20,9,deli,dry goods pasta,0.28509030079613396,0.07014000563985702
6,3,international,bakery,0.3942980650473446,0.029197692231478025
14,3,breakfast,bakery,0.41468988527812056,0.06914921994680243
6,12,international,meat seafood,0.29055166735282006,0.021515292396100876
6,15,international,canned goods,0.42682173734046935,0.031606063608441495
9,12,dry goods pasta,meat seafood,0.3017467923944968,0.05950811301054044
12,9,meat seafood,dry goods pasta,0.3215020999752944,0.05950811301054044
9,14,dry goods pasta,breakfast,0.2537872932447055,0.050049920356073134
14,9,breakfast,dry goods pasta,0.30015082956259426,0.050049920356073134
9,15,dry goods pasta,canned goods,0.40377183490493124,0.07962868400795677
15,9,canned goods,dry goods pasta,0.3551808539570302,0.07962868400795677
14,15,breakfast,canned goods,0.30526989350518763,0.050903520337781706
5,4,alcohol,produce,0.5207729468599034,0.012323849735917505
5,7,alcohol,beverages,0.4985507246376812,0.01179797117575776
5,16,alcohol,dairy eggs,0.5098228663446055,0.01206472117004169
2,13,other,pantry,0.4643478260869565,0.006104764154897911
2,19,other,snacks,0.5281159420289855,0.006943121279790259
14,7,breakfast,beverages,0.5562411444764386,0.09275278372672606
14,13,breakfast,pantry,0.4656062891357009,0.07763949119343948
14,20,breakfast,deli,0.3308652132181544,0.05517152024632457
21,1,missing,frozen,0.5446415693062167,0.02877851366903185
21,3,missing,bakery,0.3427087840761575,0.0181085138976747
21,19,missing,snacks,0.5593538150872638,0.0295558993666593
10,16,bulk,dairy eggs,0.7724867724867724,0.007789099833090718
10,19,bulk,snacks,0.5774754346182918,0.005822771303797758
21,15,missing,canned goods,0.3037646040675032,0.016050728227484396
8,1,pets,frozen,0.5082447783070722,0.010570921202051688
8,3,pets,bakery,0.3499450348112862,0.0072784641297471975
8,4,pets,produce,0.6500549651887139,0.013520413995991128
8,9,pets,dry goods pasta,0.25357273726639795,0.005274028458413676
8,16,pets,dairy eggs,0.6984243312568706,0.014526442545861945
8,17,pets,household,0.3810919750824478,0.007926285544436739
8,20,pets,deli,0.27775742030047634,0.005777042733349084
18,3,babies,bakery,0.3762967620245206,0.018245699609020723
21,9,missing,dry goods pasta,0.2591951536131545,0.01369570684937771
18,14,babies,breakfast,0.26123860421251177,0.012666814014282556
18,15,babies,canned goods,0.3269412134548884,0.015852571088873477
18,19,babies,snacks,0.5713612071675573,0.027703892263488024
5,13,alcohol,pantry,0.3181964573268921,0.007529971267214901
5,1,alcohol,frozen,0.3342995169082126,0.007911042687620514
2,20,other,deli,0.26956521739130435,0.0035439642097721954
18,20,babies,deli,0.32945614586607985,0.01597451394340327
8,7,pets,beverages,0.6009527299377061,0.012499142589304088
8,13,pets,pantry,0.4268962990106266,0.00887896409545077
8,19,pets,snacks,0.5049468669842433,0.010502328346378677
18,13,babies,pantry,0.42895315938384154,0.020798878125738326
5,17,alcohol,household,0.25152979066022546,0.005952335586735666
10,3,bulk,bakery,0.31065759637188206,0.003132407075734134
10,4,bulk,produce,0.8994708994708994,0.009069499805653575
10,7,bulk,beverages,0.46485260770975056,0.004687178470989033
5,3,alcohol,bakery,0.2789049919484702,0.006600157001425207
5,19,alcohol,snacks,0.39388083735909823,0.00932100694312128
8,15,pets,canned goods,0.2814217662147307,0.005853257017430207
2,15,other,canned goods,0.27652173913043476,0.0036354213506695427
2,3,other,bakery,0.32115942028985506,0.004222271338094186
10,13,bulk,pantry,0.4429327286470144,0.0044661570471537775
10,15,bulk,canned goods,0.30083144368858655,0.0030333285064286747
10,20,bulk,deli,0.35222978080120937,0.0035515856381803075
10,1,bulk,frozen,0.4217687074829932,0.0042527570517266345
